epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,869.893,1.39964,5.6507,1.32781,0,0,0,0,1.21715,5.4183,1.14167,2.727e-05,2.727e-05,2.727e-05
2,1992.76,1.32262,5.15151,1.20134,0.00996,0.04833,0.02489,0.01903,1.28469,5.17908,1.17391,5.44501e-05,5.44501e-05,5.44501e-05
3,2900.85,1.35995,4.44678,1.19964,0.41303,0.06019,0.07927,0.05991,1.28311,4.29443,1.12955,8.05103e-05,8.05103e-05,8.05103e-05
4,3865.76,1.33582,3.53115,1.16956,0.57727,0.11623,0.13134,0.09649,1.26749,3.41534,1.151,9.50006e-05,9.50006e-05,9.50006e-05
5,18257.3,1.25709,3.01116,1.13575,0.68808,0.13038,0.1529,0.10441,1.26424,2.97354,1.15771,9.30008e-05,9.30008e-05,9.30008e-05
6,19103.1,1.19221,2.60046,1.11822,0.67591,0.20525,0.19341,0.13157,1.18597,2.38631,1.12227,9.1001e-05,9.1001e-05,9.1001e-05
7,24013.2,1.15872,2.46661,1.10057,0.75482,0.24575,0.25621,0.17237,1.20174,2.11311,1.11818,8.90012e-05,8.90012e-05,8.90012e-05
8,24956.2,1.18225,2.24299,1.09925,0.79509,0.24599,0.32023,0.22033,1.19638,2.01753,1.12002,8.70014e-05,8.70014e-05,8.70014e-05
9,26054.2,1.13244,2.07887,1.09191,0.76561,0.29016,0.34968,0.24659,1.16345,1.88292,1.11075,8.50016e-05,8.50016e-05,8.50016e-05
10,27043.6,1.14404,2.02751,1.09077,0.79986,0.31,0.38527,0.27589,1.14466,1.78131,1.10191,8.30018e-05,8.30018e-05,8.30018e-05
11,27943.8,1.13411,1.89303,1.08769,0.87943,0.35178,0.43016,0.31882,1.13489,1.69347,1.09452,8.1002e-05,8.1002e-05,8.1002e-05
12,28722.2,1.12815,1.78612,1.07301,0.86095,0.37279,0.46109,0.34555,1.15928,1.68113,1.10198,7.90022e-05,7.90022e-05,7.90022e-05
13,29429.7,1.12642,1.79511,1.08539,0.90347,0.37829,0.53084,0.40674,1.16055,1.61219,1.10293,7.70024e-05,7.70024e-05,7.70024e-05
14,30366.9,1.12315,1.76566,1.09286,0.76245,0.44726,0.54451,0.41919,1.16614,1.57946,1.10521,7.50026e-05,7.50026e-05,7.50026e-05
15,31537.2,1.11721,1.67517,1.07707,0.75314,0.50007,0.54435,0.41261,1.1409,1.58705,1.10192,7.30028e-05,7.30028e-05,7.30028e-05
